Leybold GmbH
S/N = 000518
sw-version = 1.11.00
samplingtime[s] = 10
unit = mbar
Setpoints;Channel;SP-On;SP-Off
1;Off;na;na
2;Off;na;na
3;Off;na;na
4;Off;na;na
5;Off;na;na
6;Off;na;na
Leak test parameter
unit = mbar*l/s
Interval[min] = 1 
Volume[l] = 1.00
Channel = 1

date time;ch1 =  ;ch2 =  ;leak rate
;DU200;NOSEN
2021-05-11 14:01:05;0.4;....;n.a.
2021-05-11 14:01:15;0.5;....;n.a.
2021-05-11 14:01:25;0.5;....;n.a.
2021-05-11 14:01:35;0.5;....;n.a.
2021-05-11 14:01:45;0.5;....;n.a.
2021-05-11 14:01:55;0.5;....;n.a.
2021-05-11 14:02:05;0.5;....;n.a.
2021-05-11 14:02:15;0.4;....;n.a.
2021-05-11 14:02:25;0.5;....;n.a.
2021-05-11 14:02:35;0.5;....;n.a.
2021-05-11 14:02:45;0.5;....;n.a.
2021-05-11 14:02:55;0.5;....;n.a.
2021-05-11 14:03:05;0.5;....;n.a.
2021-05-11 14:03:15;0.5;....;n.a.
2021-05-11 14:03:25;0.5;....;n.a.
2021-05-11 14:03:35;0.5;....;n.a.
2021-05-11 14:03:45;0.5;....;n.a.
2021-05-11 14:03:55;0.5;....;n.a.
2021-05-11 14:04:05;0.4;....;n.a.
2021-05-11 14:04:15;0.5;....;n.a.
2021-05-11 14:04:25;0.5;....;n.a.
2021-05-11 14:04:35;0.5;....;n.a.
2021-05-11 14:04:45;0.5;....;n.a.
2021-05-11 14:04:55;0.5;....;n.a.
2021-05-11 14:05:05;0.5;....;n.a.
2021-05-11 14:05:15;0.4;....;n.a.
2021-05-11 14:05:25;0.5;....;n.a.
2021-05-11 14:05:35;0.5;....;n.a.
2021-05-11 14:05:45;0.5;....;n.a.
2021-05-11 14:05:55;0.5;....;n.a.
2021-05-11 14:06:05;0.5;....;n.a.
2021-05-11 14:06:15;0.4;....;n.a.
2021-05-11 14:06:25;0.4;....;n.a.
2021-05-11 14:06:35;0.5;....;n.a.
2021-05-11 14:06:45;0.4;....;n.a.
2021-05-11 14:06:55;0.5;....;n.a.
2021-05-11 14:07:05;0.5;....;n.a.
2021-05-11 14:07:15;0.5;....;n.a.
2021-05-11 14:07:25;0.5;....;n.a.
2021-05-11 14:07:35;0.5;....;n.a.
2021-05-11 14:07:45;0.5;....;n.a.
2021-05-11 14:07:55;0.5;....;n.a.
2021-05-11 14:08:05;0.5;....;n.a.
2021-05-11 14:08:15;0.5;....;n.a.
2021-05-11 14:08:25;0.5;....;n.a.
